epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,131.353,0.64629,0.69927,1.1783,0.65923,0.67497,0.69821,0.40628,1.59142,1.63358,1.38029,3.00242e-05,3.00242e-05,3.00242e-05
54,133.789,0.78821,0.91373,1.23436,0.69186,0.67154,0.69635,0.40819,1.57602,1.67718,1.38089,2.99772e-05,2.99772e-05,2.99772e-05
55,136.098,0.80047,0.95348,1.12111,0.69186,0.67154,0.69635,0.40819,1.57602,1.67718,1.38089,2.99066e-05,2.99066e-05,2.99066e-05
56,138.407,1.10224,1.44932,1.58935,0.69186,0.67154,0.69635,0.40819,1.57602,1.67718,1.38089,2.98125e-05,2.98125e-05,2.98125e-05
57,140.811,0.9447,1.50148,1.37506,0.7258,0.5,0.69158,0.40262,1.58277,1.71049,1.39103,2.96948e-05,2.96948e-05,2.96948e-05
58,143.115,0.86452,1.4531,1.26624,0.7258,0.5,0.69158,0.40262,1.58277,1.71049,1.39103,2.95535e-05,2.95535e-05,2.95535e-05
59,145.493,0.782,0.82995,1.15402,0.7258,0.5,0.69158,0.40262,1.58277,1.71049,1.39103,2.93887e-05,2.93887e-05,2.93887e-05
60,147.847,0.99918,0.77731,1.54682,0.85548,0.48117,0.67794,0.39079,1.60858,1.77981,1.40871,2.92003e-05,2.92003e-05,2.92003e-05
61,150.125,0.63641,0.68097,1.0636,0.85548,0.48117,0.67794,0.39079,1.60858,1.77981,1.40871,2.89884e-05,2.89884e-05,2.89884e-05
62,152.471,0.70364,0.89673,1.04617,0.85548,0.48117,0.67794,0.39079,1.60858,1.77981,1.40871,2.87529e-05,2.87529e-05,2.87529e-05
63,154.862,0.77081,0.82449,1.15475,0.85504,0.47932,0.67728,0.3706,1.64636,1.855,1.42742,2.84938e-05,2.84938e-05,2.84938e-05
64,157.16,0.62645,0.65381,1.06736,0.85504,0.47932,0.67728,0.3706,1.64636,1.855,1.42742,2.82112e-05,2.82112e-05,2.82112e-05
65,159.482,0.66099,0.68392,1.21609,0.85504,0.47932,0.67728,0.3706,1.64636,1.855,1.42742,2.7905e-05,2.7905e-05,2.7905e-05
66,161.837,0.68533,0.91303,1.08122,0.85293,0.47729,0.67715,0.39248,1.72075,1.92027,1.45335,2.75753e-05,2.75753e-05,2.75753e-05
67,164.174,0.73681,1.10971,1.10169,0.85293,0.47729,0.67715,0.39248,1.72075,1.92027,1.45335,2.7222e-05,2.7222e-05,2.7222e-05
68,166.489,1.04494,1.77023,1.40745,0.85293,0.47729,0.67715,0.39248,1.72075,1.92027,1.45335,2.68451e-05,2.68451e-05,2.68451e-05
69,168.79,0.63855,1.09783,1.12352,0.84267,0.48535,0.55417,0.273,1.67038,1.96239,1.42349,2.64447e-05,2.64447e-05,2.64447e-05
70,171.129,0.98202,0.86792,1.43083,0.84267,0.48535,0.55417,0.273,1.67038,1.96239,1.42349,2.60207e-05,2.60207e-05,2.60207e-05
